userId,movieId,title,rating
1,1,The Dark Knight,5
2,1,The Dark Knight,4.5
3,1,The Dark Knight,5
4,1,The Dark Knight,4

1,2,Inception,5
2,2,Inception,4
3,2,Inception,4.5
5,2,Inception,5

1,3,Interstellar,4.5
3,3,Interstellar,5
4,3,Interstellar,4
5,3,Interstellar,4.5

2,4,Batman Begins,4
3,4,Batman Begins,4.5
4,4,Batman Begins,4
5,4,Batman Begins,4.5

1,5,The Dark Knight Rises,4
2,5,The Dark Knight Rises,4
3,5,The Dark Knight Rises,4.5
4,5,The Dark Knight Rises,4

2,6,Avengers: Endgame,3.5
3,6,Avengers: Endgame,4
4,6,Avengers: Endgame,3
5,6,Avengers: Endgame,3.5

1,7,Gladiator,4
2,7,Gladiator,4.5
4,7,Gladiator,4
5,7,Gladiator,4

1,8,The Matrix,5
2,8,The Matrix,4.5
3,8,The Matrix,5
5,8,The Matrix,4.5
